Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-906,Ugvyvgvrf,OS,4.21,7.0,123.5
Bond-907,Ugvyvgvrf,OS,6.29,6.0,158.4
Bond-908,Ugvyvgvrf,OS,2.1,6.0,104.3
Bond-909,Ugvyvgvrf,OS,2.79,6.0,107.3
Bond-910,Ugvyvgvrf,OS,4.58,7.0,129.7
Bond-911,Ugvyvgvrf,OS,5.46,5.0,89.9
Bond-912,Ugvyvgvrf,OS,10.71,5.0,125.1
Bond-913,Ugvyvgvrf,OS,4.7,5.0,86.2
Bond-914,Ugvyvgvrf,OS,9.01,5.0,128.5
Bond-915,Ugvyvgvrf,OS,1.54,5.0,71.6
Bond-916,Ugvyvgvrf,OS,2.52,5.0,72.2
Bond-917,Ugvyvgvrf,OS,2.44,5.0,72.9
Bond-918,Ugvyvgvrf,OS,3.32,5.0,84.6
Bond-919,Ugvyvgvrf,OS,5.86,5.0,111.8
Bond-920,Ugvyvgvrf,OS,5.17,5.0,83.9
Bond-921,Ugvyvgvrf,OS,6.5,5.0,124.6
Bond-922,Ugvyvgvrf,OS,17.31,5.0,161.7
Bond-923,Ugvyvgvrf,OS,15.25,5.0,165.8
Bond-924,Ugvyvgvrf,OS,15.37,5.0,164.8
Bond-925,Ugvyvgvrf,OS,1.45,12.0,390.7
Bond-926,Ugvyvgvrf,OS,2.14,12.0,403.6
Bond-927,Ugvyvgvrf,OS,1.43,7.0,127.6
Bond-928,Ugvyvgvrf,OS,1.27,11.0,529.3
Bond-929,Ugvyvgvrf,OS,1.69,10.0,517.5
Bond-930,Ugvyvgvrf,OS,2.47,6.0,122.1
Bond-931,Ugvyvgvrf,OS,3.36,6.0,244.0
Bond-932,Ugvyvgvrf,OS,1.15,6.0,109.7
Bond-933,Ugvyvgvrf,OS,5.5,6.0,108.9
Bond-934,Ugvyvgvrf,OS,1.54,6.0,221.0
Bond-935,Ugvyvgvrf,OS,1.55,5.0,91.2
Bond-936,Ugvyvgvrf,OS,2.81,5.0,97.8
Bond-937,Ugvyvgvrf,OS,5.86,5.0,136.3
Bond-938,Ugvyvgvrf,OS,6.86,5.0,136.9
Bond-939,Ugvyvgvrf,OS,2.83,7.0,168.9
Bond-940,Ugvyvgvrf,OS,1.04,7.0,155.5
Bond-941,Ugvyvgvrf,OS,1.75,9.0,144.9
Bond-942,Ugvyvgvrf,OS,4.29,5.0,107.4
Bond-943,Ugvyvgvrf,OS,5.17,5.0,110.1
Bond-944,Ugvyvgvrf,OS,1.97,9.0,416.7
Bond-945,Ugvyvgvrf,OS,1.09,9.0,377.2
Bond-946,Ugvyvgvrf,OS,1.34,9.0,526.3
Bond-947,Fvanapvny,OC,1.88,11.0,317.5
Bond-948,Fvanapvny,OC,7.5,11.0,415.9
Bond-949,Fvanapvny,OC,2.22,12.0,281.4
Bond-950,Fvanapvny,OC,4.65,12.0,404.5
Bond-951,Fvanapvny,OC,5.68,10.0,305.8
Bond-952,Fvanapvny,OC,3.98,11.0,360.5
Bond-953,Fvanapvny,OC,1.85,12.0,211.3
Bond-954,Fvanapvny,OC,1.87,13.0,555.6
Bond-955,Fvanapvny,OC,3.94,10.0,266.4
Bond-956,Fvanapvny,OC,3.72,13.0,512.4
Bond-957,Fvanapvny,OC,1.67,12.0,204.5
Bond-958,Fvanapvny,OC,2.22,14.0,720.6
Bond-959,Fvanapvny,OC,1.37,14.0,564.8
Bond-960,Fvanapvny,OC,4.57,10.0,262.2
Bond-961,Fvanapvny,OC,5.62,8.0,209.0
Bond-962,Fvanapvny,OC,3.2,8.0,202.5
Bond-963,Ovy_naq_Gnf,OC,3.04,14.0,606.4
Bond-964,Ovy_naq_Gnf,OC,2.73,10.0,212.3
Bond-965,Ovy_naq_Gnf,OC,3.9,10.0,256.0
Bond-966,Ovy_naq_Gnf,OC,4.72,10.0,295.2
Bond-967,Ovy_naq_Gnf,OC,12.24,10.0,447.2
Bond-968,Ovy_naq_Gnf,OC,13.24,10.0,421.8
Bond-969,Ovy_naq_Gnf,OC,6.93,10.0,371.8
Bond-970,Ovy_naq_Gnf,OC,2.17,15.0,1757.5
Bond-971,Sbirervta,OC,8.02,10.0,363.8
Bond-972,Sbirervta,OC,2.14,10.0,117.3
Bond-973,Sbirervta,OC,3.15,10.0,186.5
Bond-974,Sbirervta,OC,2.96,10.0,153.4
Bond-975,Sbirervta,OC,4.54,10.0,193.4
Bond-976,Sbirervta,OC,5.53,10.0,208.8
Bond-977,Sbirervta,OC,6.92,10.0,228.7
Bond-978,Sbirervta,OC,10.85,10.0,316.8
Bond-979,Sbirervta,OC,12.55,10.0,309.8
Bond-980,Sbirervta,OC,13.85,10.0,303.0
Bond-981,Sbirervta,OC,14.61,10.0,291.8
Bond-982,Sbirervta,OC,15.7,10.0,294.3
Bond-983,TMT,OC,3.52,12.0,394.6
Bond-984,TMT,OC,3.12,12.0,446.8
Bond-985,Tenafcbeg,OC,4.61,12.0,515.3
Bond-986,Ugvyvgvrf,OC,7.05,10.0,363.4
Bond-987,Ugvyvgvrf,OC,8.2,10.0,360.8
